Palabra Original,Cambio,Ocurrencias
Negativismo,{'Fukushima'},1
Geopolítica,{'Geopolíticamente'},1
econométricos,{'trigonométricos'},1
Acidos,{'Ácidos'},4
bengalies,{'Ácaros'},1
Jomon,{'Nomon'},1
Glifos,{'Grifos'},2
Reingeniería,{'Re ingeniería'},2
-,{'a'},19
courts,{'Internacional'},1
Silicón,{'Lame'},1
Sacarímetros,{'Porche'},1
Tutsi,{'Orfo'},1
Tohoku,{'pos-exilio'},2
Abasolo,{'Aba solo'},1
Zitlala,{'Mali'},1
Markov,{'OC'},1
Policondensación,{'Agro silvicultura'},1
Miomectomía,{'Radio isotopos'},1
Paleontología,{'Odontología'},10
Riemannian,{'Manieran'},1
Biogeografía,{'Biografía'},1
Irracionalismo,{'Ir racionalismo'},1
Etiope,{'Etíope'},1
Outlines,{'transaccionales'},1
interorganizacionales,{'internacionalizares'},1
Topología,{'Antropología'},3
neozelandés,{'neo gótica'},1
Fotoquímica,{'Foto química'},1
Mazahuas,{'Humazas'},1
Bhután,{'Caucasiana'},1
Veracruz,{'Vera cruz'},2
Grial,{'Erial'},1
Metanarración,{'Meta narración'},1
Tezcatlipoca,{'presupuesta'},1
Castilla,{'Astilla'},1
Deconstrucción,{'Reconstrucción'},1
Nanotubos,{'Cambia'},1
Narcoterapia,{'Psicoterapia'},1
Biofilms,{'Micro morfología'},1
Webcasting,{'Web casting'},1
Geomática,{'Odisea'},1
Bioregionalismo,{'Regionalismo'},1
electroquímica,{'electro química'},1
ie,{'ir'},1
macrobiótica,{'reestructurados'},1
Audiología,{'Átomos'},1
Memética,{'Emética'},1
Biosfera,{'Activismo'},3
Clarificación,{'Clasificación'},1
Nínive,{'Micro finanzas'},1
Tectita,{'Aclimatan'},1
Shambala,{'Magreares'},1
Sunníes,{'Fiji'},1
Rumba,{'Tumba'},1
tojolabal,{'Mitología'},2
mineralógica,{'minera lógica'},1
Tlaltizapán,{'Catalán'},1
Coaching,{'Chinga'},1
protoindoeuropea,{'Neo kantismo'},1
Epigénesis,{'Bola'},1
agronomía,{'Amarás'},1
Neoliberalismo,{'Neo liberalismo'},1
autoorganizados,{'auto organizados'},1
Goth,{'Gota'},2
Cookies,{'Anexionismo'},1
literature,{'literatura'},5
Chiítas,{'Chitas'},3
Basoga,{'Saboga'},1
Dionisio,{'Dionisia'},1
Texcoco,{'Texcocano'},1
Psicohistoria,{'Protohistoria'},1
Manyukei,{'Conocida'},1
curriculum,{'Sadismo'},1
agrobiodiversidad,{'Entrometería'},1
genéticamente,{'genéricamente'},1
Oracle,{'Perú'},1
Hatha,{'Hatea'},1
Adeebeba,{'Debelaba'},1
Xavante,{'Tara humara'},1
Desindustrialización,{'Des industrialización'},1
Access,{'Accesos'},1
Evangelicalismo,{'pos-exilio'},1
minimal,{'animal'},1
Logits,{'Logis'},1
Electrofisiología,{'Electro fisiología'},2
Walbiri,{'Tara humara'},1
Coatlicue,{'Criptograma'},1
Fundamentalismo,{'Fundamentalmente'},4
Estalingrado,{'Entalingado'},1
for,{'fo'},1
Hachemitas,{'Hache mitas'},1
Inmunología,{'Ácaros'},2
Kabuki,{'Maquinadoras'},1
Paleoantropología,{'Paleo antropología'},1
huave,{'hueva'},1
Judaismo,{'Sri'},1
microscopía,{'termo solar'},1
Holismo,{'literatura'},1
Ecofisiología,{'Eco fisiología'},1
Anserma,{'Remanse'},1
téctonicos,{'técnicos'},1
transnacional,{'transaccional'},1
etnología,{'etología'},4
Tabago,{'Tobago'},2
Miskitos,{'Mitosis'},1
Dumping,{'Democratizan'},1
huertista,{'constitucionalismo'},1
Genes,{'Renes'},2
humectantes,{'humectan tes'},1
Oka,{'Ka'},1
soya,{'solla'},1
Xo,{'O'},1
Fisicoculturistas,{'diabólicos'},1
Tláloc,{'asturianos'},1
Cacahuates,{'Cacahuetes'},1
antinuclear,{'anti nuclear'},1
Quipus,{'Qui pus'},1
Infijos,{'In fijos'},1
Mochicas,{'Mochilas'},1
biodiesel,{'Video grabadoras'},2
Sudasiáticos,{'Sud asiáticos'},1
Decomisos,{'Decomiso'},1
Tobit,{'To bit'},1
Metalistería,{'Metalista'},2
Heyaz,{'Egocentrismo'},1
Fracturación,{'Facturación'},2
transfinitos,{'transfijos'},1
Kumasi,{'Moruro'},1
Somatomedin,{'Video discos'},1
Nematoda,{'Nematodo'},1
power,{'poner'},1
Obedience,{'Obediente'},1
Cuerámaro,{'Chispas'},1
zombis,{'Neo kantismo'},1
Astronáutica,{'Astro náutica'},4
confucianista,{'confucionista'},2
Collage,{'Colla ge'},1
Sismología,{'Fisiología'},1
Extasis,{'Éxtasis'},1
Escenificación,{'Especificación'},1
Lepanto,{'Levanto'},2
Genetistas,{'Genealogistas'},2
Anomia,{'Anemia'},1
Perestroika,{'Beles'},1
Jarchas,{'Archas'},1
American,{'Amaricen'},1
Coinversiones,{'Conversiones'},1
Nairobi,{'Danzó'},1
Taraab,{'Taraba'},1
Savitri,{'Traviesa'},1
Cubanoestadounidenses,{'Cubano estadounidenses'},1
cronicamente,{'cronológicamente'},1
Calakmul,{'Mocos'},1
Papisa,{'Papista'},1
Brazeletes,{'Brazaletes'},1
filubustera,{'Corazones'},1
carcinogénesis,{'transaccionales'},1
Condicionalidad,{'Condicionada'},1
Magrebíes,{'Magreares'},1
multimedia,{'Computadorizaras'},3
Actinómetros,{'Cronómetros'},1
Aljamia,{'Aljama'},1
Nápoles,{'Parqués'},2
Kabirpanthis,{'Anti héroes'},1
transnacionales,{'transaccionales'},1
Desregulación,{'Des regulación'},1
Psicolingüística,{'Lingüística'},1
asintótica,{'asintomática'},2
Teoria,{'Teoría'},1
Gujaratí,{'Montazgue'},1
Biomasa,{'auto organización'},1
reunificación,{'re unificación'},2
Zulliger,{'Oryctolagus'},1
Artico,{'Ártico'},1
mexicanoamericanos,{'mexicano americanos'},1
geotérmicos,{'isotérmicos'},1
varianza,{'acrianzar'},1
Dislexia,{'minimista'},1
Alvarez,{'Valvar'},1
Crisofitos,{'Crisólitos'},1
Biblioterapia,{'Bibliotecaria'},2
Cycas,{'Cucas'},1
Microarreglos,{'Micro arreglos'},1
Kalman,{'Calman'},1
Podiatría,{'Pediatría'},1
trees,{'terse'},1
Valladolid,{'Vallado lid'},1
Minimalismo,{'Ministerialismo'},1
mexicanoamericanas,{'mexicano americanas'},1
Olmecas,{'Olmedas'},1
mongolas,{'mogolas'},1
Punibilidad,{'Puntualidad'},1
Etnomatemáticas,{'Matemáticamente'},1
Yaqui,{'Caqui'},3
profesionistas,{'profe sionistas'},1
Autoeducación,{'Auto educación'},1
Folklore,{'Folclore'},8
kanchenjunga,{'emigrantes'},1
organizacional,{'nacionalizaran'},8
Ocumare,{'Ocupare'},1
endotelial,{'endotelio'},1
carotídeo,{'diabólicos'},2
Dusun,{'Tenas'},1
océanico,{'Folclore'},1
XVI,{'XI'},5
Vasectomía,{'Orientalismo'},1
Pastorelas,{'Pastorales'},1
Reduccionismo,{'Obstruccionismo'},1
archivístico,{'Roché'},1
optimidad,{'Sátira'},1
Tuxtepec,{'Anón'},1
portesgilista,{'convencionalismo'},1
Arbol,{'Árbol'},3
Autoempleados,{'Auto empleados'},1
Phu,{'Pu'},1
Fístulas,{'para tiroides'},1
Tantrism,{'Transmitan'},2
Brahui,{'Babilónica'},1
Sumeria,{'Sumiera'},1
varakari,{'Seno'},1
Sublenguaje,{'Patacos'},1
Serbocroata,{'pos-exilio'},1
Ayutla,{'Amarás'},2
Malaca,{'Malacia'},1
Micología,{'Mitología'},3
C,{'CD'},43
Kano,{'Ano'},1
Microempresas,{'Micro empresas'},2
Hagiografía,{'Radiografía'},3
Arqueometría,{'Traquetearía'},1
Espectrómetros,{'Espectroscópicos'},1
primae,{'primea'},1
Q,{'A'},1
LOCIS,{'LOCOS'},1
Teratología,{'Terminología'},1
lao,{'loa'},1
Kiriwiniano,{'bando neón'},1
Chalchiuhtlicue,{'jadeo-españoles'},2
kist,{'A'},1
Star,{'Atar'},1
Secularismo,{'Secularizo'},1
Aerofotografía,{'Litofotografía'},1
alai,{'ala'},1
Metanfetaminas,{'Anfetaminas'},1
Dentrobatinos,{'Dentirrostros'},1
sikh,{'neo gótica'},1
Micropropagación,{'Micro propagación'},1
Mataco,{'Ataco'},1
Kiliwa,{'Álbumes'},1
Audiolibros,{'Audio libros'},1
Djibouti,{'Comoros'},1
intercultural,{'culturalmente'},3
Molucas,{'Malucos'},1
Dietética,{'Pietistas'},1
Tecpan,{'Pectan'},1
Chilcuautla,{'Eloxochitlán'},1
Parasitología,{'diferenciales'},3
hídricos,{'clorhídricos'},1
Paleobotánica,{'Paleo botánica'},1
Terminologia,{'Terminología'},1
terias,{'tercias'},1
Beowulf,{'Retozas'},1
Eloxochitlán,{'Eloxochitlán'},1
Autosacrificio,{'Auto sacrificio'},2
Medievalismo,{'Medievalista'},1
Otomí,{'Oto mí'},1
Tultenango,{'Tintan'},1
Dubay,{'Duba'},1
Tiantai,{'Tintan'},1
Radioauditorio,{'Radio auditorio'},1
Eurocentrismo,{'Egocentrismo'},1
cambiario,{'cambiarlo'},1
Nextlalpan,{'Alquilaras'},1
Luditas,{'Auditas'},1
autodirigidos,{'auto dirigidos'},1
Odiseo,{'Odisea'},2
policiaco,{'Pastorales'},2
indo-iraníes,{'indo-tiranías'},1
entropía,{'entro pía'},1
PC,{'OC'},2
Electrificación,{'Electrifican'},2
PowerPoint,{'Farmacéutica'},1
Budapest,{'Insolentemente'},1
Fluoxetine,{'Golea'},1
Cebúes,{'Cebes'},1
Francocanadienses,{'Franco canadienses'},1
Postestructuralismo,{'tegea'},1
Ayacucho,{'Achucho'},1
Yanomami,{'Gafar'},1
facetada,{'faceta da'},1
Mapimí,{'Activismo'},1
Paralingüística,{'Para lingüística'},1
Zamiaceae,{'Cambia'},1
Multiculturalismo,{'Hache mitas'},2
Avalokitesvara,{'Armamentista'},1
Windows,{'mesoamericanos'},3
Coahuila,{'Indicación'},3
biósfera,{'extralingüística'},1
Moscú,{'Mosca'},3
Atlacomulco,{'Alquilaras'},1
Z,{'A'},1
folklóricas,{'folclóricas'},25
Sumerio,{'Sumario'},1
Fibrilación,{'alabastrita'},1
convencionalista,{'convencionalismo'},1
oceanográfica,{'mecanográfica'},2
Iridiscencia,{'Iridiscente'},1
Codependientes,{'Drogodependientes'},1
Telemática,{'Telepática'},2
Geofísicos,{'corolarios'},1
egeo,{'ego'},1
Goliardos,{'Tintan'},1
Asíndeton,{'Animalidad'},1
Macroeconomía,{'Macro economía'},1
Desinversión,{'Des inversión'},1
Hidrodinámica,{'Aerodinámica'},1
Neopaganismo,{'Neo paganismo'},1
Chapantongo,{'Chapan tongo'},1
aerodeslizador,{'deslizadero'},1
Asis,{'Asís'},1
Londres,{'Landres'},1
Idolos,{'Ídolos'},2
Díaz,{'Día'},2
abrahámicas,{'Danzó'},1
interinstitucional,{'institucionalmente'},1
Tecnocracia,{'Primea'},2
Sahara,{'Vahara'},4
Fatimitas,{'Imitativas'},1
UNIX,{'UNIR'},2
Chilpancingo,{'Tapa chula'},2
Basquetbol,{'Video grabadoras'},2
Amperímetros,{'Perímetros'},1
Teddy,{'comen'},1
Qumrán,{'jurisprudente'},1
Egiptólogos,{'Erasmiano'},1
Musicología,{'conducto'},1
Infertilidad,{'In fertilidad'},1
Tecuexes,{'Cuestes'},1
pidgin,{'Malacia'},1
Espintrónica,{'Útero'},1
Chol,{'Col'},1
Neurobiología,{'Percepción'},3
folklórica,{'folclórica'},6
Papua,{'Papúa'},4
Hermes,{'Termes'},1
Publisher,{'d Base'},1
Hutu,{'Yagan'},1
Descentralización,{'Des centralización'},2
Fosfolípidos,{'especialización'},1
Digitalización,{'asirio babilónica'},1
Online,{'Linearon'},1
Kikuyu,{'Kikuyu'},1
Benchmarking,{'ah'},1
senegalesa,{'sene galesa'},1
Conductismo,{'Conducticio'},2
Gustavo,{'Gustado'},1
Zoques,{'Oques'},1
Dahomey,{'Mimetismo'},1
Aguascalientes,{'Aguas calientes'},13
Triqui,{'Trique'},1
Filántropos,{'cartográfica'},1
Script,{'Lutos'},1
Ornitólogos,{'Mitología'},1
nimonic,{'monicaco'},1
systems,{'Auto inmunidad'},1
Mandala,{'Man dala'},1
pseudodiferenciales,{'diferenciales'},1
Iemoto,{'Harma'},1
Cohetería,{'Cohetera'},1
Kinshasa,{'Kinshasa'},1
Banjo,{'Tanjo'},1
puertorriqueños,{'termo luminiscencia'},2
minimalista,{'minimista'},1
Cincografía,{'Cinco grafía'},1
Veracruz-Llave,{'Vera cruz-Llave'},8
Oruro,{'Moruro'},1
Elohim,{'opto electrónicos'},1
cromatográfico,{'cinematográfico'},1
Sian,{'Pian'},1
Cercopitécidos,{'diabólicos'},1
Ayahuasca,{'Auto educación'},1
clonal,{'clona'},1
Ixtlahuaca,{'Catalán'},2
Dietoterapia,{'Dieto terapia'},2
Verboides,{'Aponía'},1
Filmstrips,{'irían'},1
Cormoranes,{'Corazones'},1
postnatales,{'postpalatales'},1
Cardiología,{'Carbonatos'},1
Achagua,{'Aguacha'},2
Asrams,{'Tejo cote'},1
Motorola,{'Moto rola'},1
terrrestre,{'terrestre'},1
Histoquímica,{'IR'},1
Prostodoncia,{'Micro técnica'},1
Etnocentrismo,{'Egocentrismo'},1
Braille,{'Brille'},1
subnacionales,{'supranacionales'},2
History,{'Astucias'},2
Teledifusión,{'Tele difusión'},1
mexicoamericanos,{'mesoamericanos'},3
DDT,{'oto míes'},1
tsunami,{'pos-exilio'},1
transfronterizo,{'De forestación'},1
Sinarquismo,{'Monarquismo'},1
Dalai,{'Dalia'},1
París,{'Paría'},2
Retinoides,{'Tiroides'},1
citadinas,{'cita dinas'},1
Nomografía,{'Tomografía'},1
Djinn,{'Do'},1
Indización,{'Indicación'},2
Criptografía,{'Criptograma'},2
dao,{'sao'},1
transfronteriza,{'neurológicas'},2
Microclimatología,{'Micro climatología'},2
Efedrina,{'Micro contaminantes'},1
Ambientalistas,{'Ambienta listas'},1
Yoruba,{'Varsoviana'},3
Temascaltepec,{'Catalán'},1
Isótopos,{'Isotopos'},1
macedónica,{'neutros'},1
Clitoridectomía,{'parentales'},1
Auditoría,{'Auditoria'},6
Indizadores,{'Indicadores'},1
Elite,{'Élite'},1
sinojaponesa,{'sino japonesa'},1
Québec,{'Pedo filia'},5
urdus,{'urdas'},1
Coyolxauhqui,{'Coyolxauhqui'},1
nutricional,{'nutricio'},2
Poliformismo,{'Polimorfismo'},1
XIX,{'Hispano estadounidenses'},38
dietéticos,{'diuréticos'},1
Hopi,{'Hipo'},1
Lam-rim,{'Humanan'},1
motivacional,{'motivación'},1
Durango,{'Durando'},4
Tuxtlas,{'asirio babilónica'},1
ultracortos,{'ultra cortos'},1
Otumba,{'Tumba'},1
Carnitina,{'alabastrita'},1
Teísmo,{'Seísmo'},1
orquestación,{'Hipo'},1
Huicholes,{'Hispano estadounidenses'},1
Citogenética,{'Cito genética'},1
antijudía,{'anti judía'},1
Kirguistán,{'XI'},5
hondureñas,{'honduras'},1
preconstitucional,{'pre constitucional'},1
irano-iraquí,{'rano-iraquí'},1
Indemización,{'Indemnización'},1
Alevismo,{'En'},1
biométrica,{'barométrica'},1
altamar,{'alamar'},1
Oncología,{'Cronología'},1
Taoístas,{'Oboístas'},1
Neokantismo,{'Neo kantismo'},1
Fischer-Tropsch,{'Hipo'},1
Britanos,{'Tamaritanos'},1
señalización,{'especialización'},1
Jiménez,{'Moleros'},1
Hadit,{'Hidrosilicato'},3
Orogenia,{'Encristales'},1
Totatiche,{'nen'},1
futból,{'Auto inmunidad'},1
nouveau,{'Ar'},3
antimonopolio,{'anti monopolio'},2
Tingambato,{'Antropología'},1
Sivaísmo,{'Jadeo-español'},3
Acaya,{'Acalla'},1
Natchez,{'Ali'},1
cancelarias,{'cancelarías'},1
Ontologías,{'Antologías'},1
Litchis,{'auto partes'},1
Algebras,{'Álgebras'},1
Autohipnosis,{'Auto hipnosis'},1
arturianos,{'asturianos'},2
Hypercard,{'Beles'},1
Estencil,{'Estilen'},1
Oligosacáridos,{'Polisacáridos'},1
Glotocronología,{'aíslo'},1
chiapaneca,{'chicanea'},1
Michoacán,{'Mechoacán'},6
Videoarte,{'Video arte'},1
post-traslación,{'pos-traslación'},1
Gaia,{'Gaza'},1
Robótica,{'Humanan'},2
Biorremedación,{'Estridente'},1
Microsoft,{'Micro computadoras'},10
Sintoísmo,{'Pirronismo'},1
Biobibliografía,{'Biografiaría'},2
Biogeoquímica,{'Bioquímica'},2
Partería,{'Artería'},1
Mitraísmo,{'Braman'},1
Cosmocronología,{'Cuartago'},1
Solvatación,{'mono moleculares'},1
Leticia,{'Ali'},1
post-traumático,{'pos-traumático'},1
Oxkutzcab,{'Oxkutzcab'},1
Tlapaneco,{'extra bursátiles'},1
Solentiname,{'Insolentemente'},1
Escuintla,{'Chispas'},1
Hackers,{'Supranacional'},1
users,{'uses'},1
Buraku,{'a'},1
fenoles,{'felones'},1
Etnozoología,{'gubernamental'},1
Chinchona,{'Chincho na'},1
nigeriana,{'Casticismo'},1
Psicofarmacología,{'Parapsicología'},1
Mazahua,{'Humazas'},2
Itzpapalotl,{'Auto cinemas'},2
Striptease,{'Destripase'},1
Estridentismo,{'Estridente'},1
Ruiz,{'Diaspros'},2
Herculano,{'Radiografía'},1
Tarahumaras,{'Tara humaras'},1
Likert,{'Torio'},1
Belarús,{'Pragmatismo'},1
Narcoterrorismo,{'Rumie'},1
Chamanismo,{'Chauvinismo'},1
Hidrología,{'Hache mitas'},3
Interes,{'Interés'},1
Primitivismo,{'Primitivo'},2
Opiliones,{'Opiniones'},1
Epifanismo,{'daltonianos'},1
kula,{'aula'},1
micénico,{'Braman'},1
gángsters,{'Jangada'},1
Nanocristales,{'Encristales'},2
Apaseo,{'Paseo'},2
paramagnética,{'para magnética'},2
petrofábrico,{'Puntualidad'},1
tzeltales,{'saltareles'},1
Ignimbrita,{'Encristales'},1
Pisin,{'Pisan'},1
Capayas,{'Papayas'},1
Microeconomía,{'Micro economía'},1
Tecnólogos,{'Preventiva'},1
enseñaza,{'enseñanza'},1
Chechenia,{'Sanchecia'},1
endógeno,{'emigrantes'},1
interdisciplinario,{'multidisciplinario'},1
Farmacoepidemiología,{'gamo'},1
Xochistlahuaca,{'MAR'},1
Qin,{'In'},2
Antígona,{'Antífona'},3
matsiguenga,{'Esturado'},1
antiglobalización,{'Árabe-Israelí'},1
Farmacocinética,{'transaccionales'},1
védica,{'pila'},1
Ceitil,{'anti judía'},1
Exocitosis,{'Útero'},1
bióticas,{'abióticas'},1
aperiódicos,{'periódicos'},1
Sustentabilidad,{'Magreares'},1
Metepec,{'Catalán'},1
Turbomáquinas,{'Turbo máquinas'},1
syllabi,{'transaccionales'},1
Tuxtla,{'Tapa chula'},1
Etnobotánica,{'anti infecciosos'},1
tántrico-budista,{'tártrico-budista'},1
Sobreproducción,{'Sobre producción'},1
oceanográficos,{'mecanográficos'},1
Juchique,{'Conducticio'},1
Externalidades,{'Exterioridades'},1
Termoterapia,{'Termo terapia'},1
Radioteatro,{'Radio teatro'},1
programació,{'programación'},1
Candalas,{'Candelas'},1
Facoemulsificación,{'ch'},1
Vishnú,{'Orientalismo'},2
Fisiócratas,{'unidimensional'},1
Midrás,{'Miarás'},1
Inanna,{'Inane'},1
Geración,{'Gemación'},1
Kanbun,{'nen'},1
Huichol,{'Hontanal'},1
Biodiversidad,{'Golea'},1
Laplace,{'Aplace'},1
Cronofotografía,{'Crono fotografía'},1
Craneología,{'Necrología'},1
Abancalamiento,{'Abancala miento'},1
heurística,{'eucarística'},1
Chiautla,{'Palpan'},1
Chiconcuac,{'Alquilaras'},1
aeronaútica,{'coles-up'},2
Petra,{'Letra'},1
Copenhague,{'Mimetismo'},1
Siva,{'Diva'},1
Scrambling,{'Auto inmunidad'},1
B,{'A'},1
Eutrofización,{'Eutrofizan'},1
Videojuegos,{'Video juegos'},1
Heterosexismo,{'Loare'},1
gerencial,{'gerencia'},1
Supercuerdas,{'Supercherías'},1
Etnología,{'Etología'},10
Oncocerciasis,{'Concrescencias'},1
Dei,{'De'},1
Papagos,{'Papados'},1
Inmunización,{'Incomunicación'},2
felicista,{'felicita'},1
currícula,{'currículo'},1
Political,{'Politicastro'},1
Zaire,{'Aire'},1
Munda,{'Cunda'},1
Apalache,{'Apapache'},1
Semigrupos,{'NS-DOS'},1
Tizimín,{'Vallado lid'},1
Engel,{'Ángel'},1
recursivas,{'re cursivas'},1
Hexacloroetano,{'mecanográficos'},1
Rumbas,{'Tumbas'},1
Intrumentos,{'Instrumentos'},1
Uadis,{'Disuadir'},1
Dietistas,{'Pietistas'},1
cirílico,{'Toé'},1
Remodelación,{'Remo delación'},2
Youth,{'campa'},1
Yunca,{'Nunca'},2
organometálica,{'Eco etiquetado'},1
mielinizadas,{'melindrizadas'},1
Superredes,{'Superares'},2
Tonalá,{'Tonal'},1
Arabeamericanos,{'Iberoamericanos'},1
Micromecánica,{'Micro mecánica'},1
Falismo,{'Falisco'},1
Cihuacóatl,{'Cihuacóatl'},2
Down,{'Ay-Sachs'},1
Paipai,{'Paipay'},1
monomoleculares,{'mono moleculares'},1
Lacandón,{'Man'},1
Hipsometría,{'Hipermetría'},1
paratiroides,{'para tiroides'},1
termosolar,{'termo solar'},1
Namban,{'Lamban'},2
Visayas,{'Bisayas'},1
Telemercadotecnia,{'Tele mercadotecnia'},2
Hiperbilirrubinemia,{'Termo terapia'},1
Deuteronomio,{'opto electrónicos'},1
Timuríes,{'ir anís'},1
Hemodiálisis,{'Especialización'},1
restauracion,{'Mochilas'},1
preferencial,{'preferencia'},1
Sam,{'Mas'},1
Biomimetismo,{'Mimetismo'},1
bibioteconomía,{'Superares'},1
Cosmología,{'Cosmogonía'},13
Urdemales,{'Urde males'},1
zapoteca,{'zapo teca'},3
Prometeo,{'Promete'},1
Videodiscos,{'Video discos'},1
postmoderna,{'drástica'},2
Remediación,{'Re mediación'},2
Geishas,{'asirio babilónica'},2
Tigrina,{'Gratina'},1
Compostela,{'Compostelana'},1
Bootstrap,{'anti absorción'},1
Virología,{'Álgebras'},1
Aguila,{'Águila'},1
aterosclerótica,{'aterosclerosis'},1
Agramatismo,{'Pragmatismo'},1
Macrosociología,{'Macro sociología'},1
Ordaz,{'Día'},1
Cannabis,{'Cabinas'},1
Linux,{'pegas'},1
globalization,{'globalizan'},1
Bopíridos,{'diuréticos'},1
Multilingüismo,{'Conocida'},1
Mixes,{'Mices'},1
Adolfo,{'Afollado'},2
Albumes,{'Álbumes'},2
técnológicos,{'Garrara'},1
Superconductividad,{'Superconductor'},2
GPSS,{'comunicacionales'},1
Apaxco,{'Nezahualcoyótl'},1
concavas,{'cóncavas'},1
Cogeneración,{'neutral'},1
instruction,{'instructivo'},1
Organos,{'Órganos'},3
aséptica,{'séptica'},1
Multiprogramación,{'Neo escolasticismo'},1
MOOCs,{'Mocos'},1
antinazi,{'anti nazi'},1
inalámbrico,{'sinódica'},1
Maranao,{'Mara nao'},1
Delaware,{'Delatare'},2
Corpora,{'Corporal'},1
Smog,{'Senegal eses'},1
Drogadicción,{'Droga dicción'},2
Colaboracionistas,{'Abolicionistas'},1
Yauhquemecan,{'Yauhquemecan'},1
Querétaro,{'Queré taro'},9
Nuremberg,{'amenorare'},1
Geomicrobiología,{'Teólogos'},1
Extradición,{'Ex tradición'},1
Simpson,{'amenorare'},1
Clientelismo,{'unidimensional'},2
Teologia,{'Teología'},1
Capacitancia,{'Capacitación'},1
Tepetlaoztoc,{'Tepetlaoztoc'},1
Somalia,{'Den'},2
mixtecas,{'mixtificas'},3
Juno,{'Uno'},1
Choctaw,{'Ex culpabilidad'},1
etnológicos,{'etológicos'},1
Uaboi,{'Tara humara'},1
Nisenan,{'Ensenan'},1
Calcetería,{'Calcetera'},1
Area,{'Área'},13
Yawuru,{'Yawuru'},1
amenorrea,{'amenorare'},1
Bibliomanía,{'Australia'},1
Huave,{'Suave'},1
Dakota,{'Cagan'},3
Radioarte,{'Radicarte'},2
Virólogos,{'mesoamericanos'},1
mixtecos,{'LOCOS'},1
Inmunológicos,{'Cronológicos'},1
Montague,{'Montazgue'},1
Usumacinta,{'Carteles'},1
Kamakura,{'Cuerna vaca'},1
Chinanteco,{'Cochinamente'},2
Ecocardiografía,{'Carbonosa'},1
constitucionalista,{'constitucionalismo'},1
Tlapanecos,{'extra bursátiles'},1
Maquiladoras,{'Maquinadoras'},1
Inmaterialismo,{'In materialismo'},1
Ocuilteco,{'librarnos'},1
Muzo,{'Uzo'},1
Bosones,{'Posones'},1
Bisexualidad,{'Sexualidad'},1
Resiliencia,{'Residencial'},4
Seris,{'Peris'},1
Hispanoestadounidenses,{'Hispano estadounidenses'},5
habitat,{'hábitat'},1
Web-based,{'Web-basan'},1
Alepo,{'Apelo'},1
wives,{'Abusan'},1
Oralidad,{'Moralidad'},1
interamericanas,{'norteamericanas'},1
Neovascularización,{'Guadalajareña'},1
secularismo,{'secularizo'},1
Transitividad,{'Intransitividad'},1
Hinojosa,{'Hinojos'},1
dBase,{'d Base'},1
Tipología,{'Apología'},1
Huaves,{'Suaves'},1
taoísta,{'taoísmo'},3
Maoríes,{'neo gótica'},1
Sati,{'Sita'},1
Commedia,{'Comedia'},1
Mutazilíes,{'institucionalmente'},1
Lenguage,{'Lenguaje'},1
Moncada,{'Roncada'},1
Intertextualidad,{'Egocentrismo'},1
Albán,{'Auto conocimiento'},1
Tofu,{'Tufo'},1
Acateco,{'Acate'},1
Huamanga,{'Jacobeo'},1
librarios,{'librarnos'},1
Villagrán,{'Gavillarán'},1
Biomedicina,{'Medicinara'},1
Washington,{'asturianos'},1
Trascendentalismo,{'Transcendentalismo'},1
Farmacognosia,{'Dentirrostros'},1
Hidraúlica,{'Historiales'},1
Futurismo,{'Fu turismo'},2
Etnomusicología,{'Órgano'},1
folklore,{'folclore'},1
metalmecánica,{'metal mecánica'},1
Antiambientalismo,{'Amoniaco'},1
Ofiolitas,{'Anfibolitas'},1
Kamikaze,{'auto partes'},1
OCDE,{'DOCE'},1
Monoteísmo,{'Monoteísta'},1
remistas,{'remostas'},1
Optimización,{'Yaya'},3
Psicodrama,{'unidimensional'},1
Rap,{'Par'},2
Statistics,{'Aticistas'},1
Cholula,{'Cholla'},3
anabólicos,{'diabólicos'},1
BASIC,{'Bacteriófagos'},2
microformas,{'micro formas'},1
Zeus,{'Aztecas'},2
Sabbat,{'jurisprudente'},2
Biofarmacéutica,{'Farmacéutica'},1
Maitreya,{'programación'},1
Polimerización,{'Polarización'},1
Brahmanes,{'Madhyamaka'},1
inmunológicas,{'cronológicas'},1
Profibus,{'barométrica'},1
Risk,{'Risa'},1
sh2006008510,{'sh2006008510'},1
Taiwán,{'ir anís'},2
Otzolotepec,{'Texcocano'},1
Autoadaptación,{'Auto adaptación'},1
reunificacion,{'Sala manca'},1
Tlacuitapa,{'comen'},1
afronorteamericanos,{'norteamericanos'},2
Framework,{'ch'},1
Intel,{'Lintel'},1
Croché,{'Roché'},1
Karate,{'Carate'},1
Afro-americanos,{'Faro-americanos'},3
Bacalo,{'Cabalo'},1
archivísticos,{'emigrantes'},3
Darién,{'Coautora'},1
realimentación,{'re alimentación'},1
Homofobia,{'Inane'},1
Alfaquíes,{'Alfaques'},1
Caucasia,{'Caucasiana'},1
Contreras,{'Conteras'},1
Toxicología,{'Orfo'},10
Tlapacoyan,{'Vera cruz-Llave'},2
Bioingeniería,{'Biografía'},1
Melanesios,{'urda'},1
Numancia,{'Anuncia'},1
Eurasia,{'Neo kantismo'},1
Cheju-do,{'Che ju-do'},1
Criminología,{'Terminología'},1
afrobrasileños,{'brasileños'},1
Acetonemia,{'Aceleró metros'},1
inmunológicos,{'cronológicos'},1
